state,cases,deaths,serious,critical,recovered,latitude,longitude
Alabama,638,3,,,,33.2588817,33.2588817
Alaska,66,0,,,,64.4459613,64.4459613
American Samoa,0,0,,,,-14.300630949999999,-14.300630949999999
Arizona,665,13,,,1,34.395342,34.395342
Arkansas,384,3,,,,35.2048883,35.2048883
California,4867,97,,,1,36.7014631,36.7014631
Colorado,1734,31,,,,38.7251776,38.7251776
Connecticut,1291,27,,,,41.6500201,41.6500201
Delaware,165,2,,,9,38.6920451,38.6920451
Diamond Princess (repatriated),46,0,,,2,,
District of Columbia,304,4,,,49,38.893661249999994,38.893661249999994
Florida,3198,46,,,,27.7567667,27.7567667
Georgia,2198,65,,,,32.3293809,32.3293809
Grand Princess,21,0,,,,,
Guam,49,1,,,,13.450125700000001,13.450125700000001
Hawaii,120,0,,,,21.2160437,21.2160437
Idaho,230,4,,,,43.6447642,43.6447642
Illinois,3026,34,,,2,40.0796606,40.0796606
Indiana,981,24,,,,40.3270127,40.3270127
Iowa,235,1,,,,41.9216734,41.9216734
Kansas,202,4,,,,38.27312,38.27312
Kentucky,302,5,,,,37.5726028,37.5726028
Louisiana,2746,119,,,,30.8703881,30.8703881
Maine,168,0,,,16,45.709097,45.709097
Maryland,774,5,,,25,39.5162234,39.5162234
Massachusetts,3240,35,,,,42.3788774,42.3788774
Michigan,3657,92,,,,43.6211955,43.6211955
Minnesota,398,4,,1,180,45.9896587,45.9896587
Mississippi,579,8,,,,32.9715645,32.9715645
Missouri,670,9,,,,38.7604815,38.7604815
Montana,121,1,,,,47.3752671,47.3752671
Nebraska,81,0,,,,41.7370229,41.7370229
Nevada,535,10,,,,39.5158825,39.5158825
New Hampshire,187,2,,,,43.4849133,43.4849133
New Jersey,8825,108,,,,40.0757384,40.0757384
New Mexico,191,1,,,,34.5708167,34.5708167
New York,45934,603,1583,,2045,40.7127281,40.7127281
North Carolina,883,4,,,,35.6729639,35.6729639
North Dakota,68,1,,,15,47.6201461,47.6201461
Northern Mariana Islands,0,0,,,,14.149020499999999,14.149020499999999
Ohio,1137,19,107,,,40.2253569,40.2253569
Oklahoma,322,8,,,,34.9550817,34.9550817
Oregon,414,12,,,,43.9792797,43.9792797
Pennsylvania,2218,22,,1,,40.9699889,40.9699889
Puerto Rico,64,2,,,,18.2214149,18.2214149
Rhode Island,203,0,,,,41.7962409,41.7962409
South Carolina,539,13,,,,33.6874388,33.6874388
South Dakota,58,1,,,21,44.6471761,44.6471761
Tennessee,1203,6,,,,35.7730076,35.7730076
Texas,1950,26,,1,,31.8160381,31.8160381
U.S. Virgin Islands,19,0,,,,17.789187,17.789187
Utah,480,4,,,,39.4225192,39.4225192
Vermont,184,10,,,,44.5990718,44.5990718
Virginia,604,14,,,,37.1232245,37.1232245
Washington,3700,175,,,19,38.8948932,38.8948932
West Virginia,96,0,,,,38.4758406,38.4758406
Wisconsin,842,13,,,1,44.4308975,44.4308975
Wuhan (repatriated),3,0,,,,,
Wyoming,73,0,,,,43.1700264,43.1700264
